Matrice;featConformRatio
Comparison_(grammar)   Comparison in English;100
Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita;66
Comparison_between_Esperanto_and_Ido   Morphology;100
Comparison_between_Esperanto_and_Ido   Vocabulary;85
Comparison_between_Esperanto_and_Ido   Correlatives;100
Comparison_between_Esperanto_and_Ido    Pronouns ;100
Comparison_between_Esperanto_and_Ido   Samples;0
Comparison_between_Esperanto_and_Interlingua    Grammar and word formation ;100
Comparison_between_Esperanto_and_Interlingua    Sample text  the  ;25
Comparison_between_Esperanto_and_Novial   Alphabet and pronunciation;100
Comparison_between_Esperanto_and_Novial   Personal pronouns;100
Comparison_between_Esperanto_and_Novial   Active voice;100
Comparison_between_Esperanto_and_Novial   Passive voice of becoming;100
Comparison_between_Esperanto_and_Novial   Passive voice of being;100
Comparison_between_Esperanto_and_Novial   Language sample for comparison;0
Comparison_between_Ido_and_Interlingua    Orthography ;100
Comparison_between_Ido_and_Interlingua   Sample text;50
Comparison_between_Ido_and_Novial   Alphabets and pronunciation;96
Comparison_between_Ido_and_Novial   Personal pronouns;75
Comparison_between_Ido_and_Novial   Language sample for comparison;0
Comparison_between_U S _states_and_countries_by_GDP_(nominal)   State and country data;66
Comparison_between_U S _states_and_countries_by_GDP_(nominal)   State and country data;75
Comparison_between_U S _states_and_countries_by_GDP_(nominal)_per_capita   2009;50
Comparison_between_U S _states_and_countries_by_GDP_(PPP);50
Comparison_between_U S _states_and_countries_by_GDP_(PPP)   2013 Full List ;66
Comparison_of_3D_computer_graphics_software    General information ;83
Comparison_of_3D_computer_graphics_software   Operating system support;100
Comparison_of_3D_computer_graphics_software   Features;100
Comparison_of_401(k)_and_IRA_accounts   Comparison;100
Comparison_of_802 15 4_radio_modules    Transceiver only modules ;100
Comparison_of_802 15 4_radio_modules    Integrated MCU and transceiver modules ;93
Comparison_of_accounting_software    Free and open source software ;80
Comparison_of_accounting_software    Proprietary software ;100
Comparison_of_accounting_software    Further details ;75
Comparison_of_ADC_software    General ;100
Comparison_of_ADC_software    Operating system support ;100
Comparison_of_ADC_software    Interface and programming ;100
Comparison_of_ADC_software    Features ;100
Comparison_of_ADC_software    Interface and programming ;100
Comparison_of_ADC_software    Features ;100
Comparison_of_ADC_software    General ;100
Comparison_of_ADC_software    Operating system support ;100
Comparison_of_ADC_software    Interface and programming ;100
Comparison_of_ADC_software    Features ;100
Comparison_of_ADC_software    General ;100
Comparison_of_ADC_software    Operating system support ;100
Comparison_of_Adobe_Flex_charts   Flex Chart products;84
Comparison_of_Adobe_Flex_charts   Flex Chart features;80
Comparison_of_ADO_and_ADO NET;87
Comparison_of_ad_servers    General information ;80
Comparison_of_ad_servers    General features ;100
Comparison_of_ad_servers    Targeting ;50
Comparison_of_Afrikaans_and_Dutch   Comparisons of various words and phrases in Dutch and Afrikaans;62
Comparison_of_Afrikaans_and_Dutch   Comparison of sample text;53
Comparison_of_agent based_modeling_software    Comparison of ABM Software ;100
Comparison_of_alcopops    Beer based ;80
Comparison_of_alcopops    Bourbon whiskey based ;100
Comparison_of_alcopops    Rum based ;71
Comparison_of_alcopops    Scotch whisky based ;100
Comparison_of_alcopops    Vodka based ;80
Comparison_of_alcopops    Other ;100
Comparison_of_ALGOL_68_and_C     Comparison of the assignment and equality operators;66
Comparison_of_AMD_chipsets    AMD xxx ;75
Comparison_of_AMD_chipsets    A Link Express II ;90
Comparison_of_AMD_chipsets    A Link Express III ;92
Comparison_of_AMD_chipsets    AMD xxx ;75
Comparison_of_AMD_chipsets    A Link Express ;84
Comparison_of_AMD_chipsets      anchor FCH   Fusion controller hubs (FCH) ;76
Comparison_of_AMD_processors;92
Comparison_of_American_and_British_English   School;100
Comparison_of_American_and_British_English   Road transport;96
Comparison_of_American_and_British_English   Equivalent idioms;100
Comparison_of_anaerobic_and_aerobic_digestion;100
Comparison_of_Android_e book_reader_software    File formats supported ;12
Comparison_of_Android_e book_reader_software    Navigation features ;94
Comparison_of_Android_e book_reader_software    Display features ;94
Comparison_of_Android_e book_reader_software    Edit tool features ;93
Comparison_of_Android_e book_reader_software    Book source management features ;93
Comparison_of_antivirus_software     ;73
Comparison_of_antivirus_software     ;85
Comparison_of_antivirus_software     ;84
Comparison_of_antivirus_software     ;80
Comparison_of_antivirus_software     ;80
Comparison_of_antivirus_software   ;80
Comparison_of_antivirus_software   ;100
Comparison_of_antivirus_software   ;82
Comparison_of_antivirus_software   ;82
Comparison_of_antivirus_software   ;100
Comparison_of_application_servers    Java ;62
Comparison_of_application_virtualization_software   Comparison of virtual machines;100
Comparison_of_application_virtualization_software   List of application virtual machine implementations;100
Comparison_of_archive_formats   Comparison;80
Comparison_of_Asian_national_space_programs   Timeline of national firsts;0
Comparison_of_Asian_national_space_programs   Timeline of national firsts;100
Comparison_of_Asian_national_space_programs    Other achievements ;75
Comparison_of_Asian_national_space_programs    Comparison of key technologies ;81
Comparison_of_Asian_national_space_programs    Orbital Launch Frequency ;100
Comparison_of_assemblers   6502 assemblers;100
Comparison_of_assemblers   680x0 assemblers;100
Comparison_of_assemblers   ARM assemblers;100
Comparison_of_assemblers   IBM mainframe assemblers;100
Comparison_of_assemblers   Power Architecture assemblers;100
Comparison_of_assemblers   x86 assemblers;83
Comparison_of_assemblers   Other architectures;62
Comparison_of_ATI_chipsets   Comparison of Northbridges;81
Comparison_of_ATI_chipsets   Comparison of Southbridges;88
Comparison_of_ATI_chipsets   Comparison of Northbridges;81
Comparison_of_ATI_chipsets   Comparison of Southbridges;77
Comparison_of_audio_formats    General information ;92
Comparison_of_audio_formats    Operating system support ;90
Comparison_of_audio_formats    Multimedia frameworks support ;100
Comparison_of_audio_formats    Technical details ;100
Comparison_of_audio_formats    Technical details ;100
Comparison_of_audio_formats    Technical details ;100
Comparison_of_audio_player_software   General;100
Comparison_of_audio_player_software   Operating system compatibility;100
Comparison_of_audio_player_software   Optical media ability;100
Comparison_of_audio_player_software   Features;100
Comparison_of_audio_player_software   Extended features;100
Comparison_of_audio_player_software   Audio format ability;100
Comparison_of_audio_player_software   Container format ability;90
Comparison_of_audio_player_software   Scalable  composite and emulation format abilities;100
Comparison_of_audio_player_software   Protocol abilities;100
Comparison_of_audio_player_software   Playlist format ability;100
Comparison_of_audio_player_software   Metadata ability;87
Comparison_of_audio_synthesis_environments   General;100
Comparison_of_audio_synthesis_environments   Programming language features;50
Comparison_of_audio_synthesis_environments   Data interface methods;88
Comparison_of_audio_synthesis_environments   Technical;100
Comparison_of_Axis_ _Allies_games    Units ;100
Comparison_of_baseball_and_softball   Table of comparison;100
Comparison_of_behavioral_experiment_software;100
Comparison_of_birth_control_methods   Effectiveness;57
Comparison_of_BitTorrent_clients    General ;100
Comparison_of_BitTorrent_clients    Operating system support ;100
Comparison_of_BitTorrent_clients    Interface and programming ;88
Comparison_of_BitTorrent_clients    Features I ;92
Comparison_of_BitTorrent_clients    Features II ;92
Comparison_of_BitTorrent_clients    Vulnerabilities ;92
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_BitTorrent_sites   Site comparison;84
Comparison_of_BitTorrent_tracker_software;100
Comparison_of_boot_loaders   Features;94
Comparison_of_boot_loaders    Technical information ;100
Comparison_of_brainwave_entrainment_software   General;100
Comparison_of_brainwave_entrainment_software   Stimuli Methods;100
Comparison_of_brainwave_entrainment_software   Features;66
Comparison_of_browser_synchronizers   General;100
Comparison_of_browser_synchronizers   Operating system support;100
Comparison_of_browser_synchronizers   Syncable Browsers;100
Comparison_of_browser_synchronizers   Syncable Items;100
Comparison_of_browser_synchronizers   Features;100
Comparison_of_BSD_operating_systems   General information;100
Comparison_of_BSD_operating_systems   Technical information;100
Comparison_of_BSD_operating_systems   Security features;100
Comparison_of_business_integration_software   General information;100
Comparison_of_business_integration_software   Operating system support;85
Comparison_of_business_integration_software   Database support;100
Comparison_of_Business_Process_Modeling_Notation_tools    General ;87
Comparison_of_CAD _CAM_and_CAE_file_viewers    Comparison of CAD CAM CAE file viewers ;50
Comparison_of_CalDAV_and_CardDAV_implementations   Client implementations;100
Comparison_of_CalDAV_and_CardDAV_implementations   Server implementations;84
Comparison_of_California_ski_resorts;90
Comparison_of_Canadian tax_preparation_software_for_personal_use;81
Comparison_of_Canon_EOS_digital_cameras   General information;100
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb;100
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb;100
Comparison_of_chess_video_games   General information;100
Comparison_of_chess_video_games   Gameplay;75
Comparison_of_Chinese_romanization_systems;62
Comparison_of_cluster_software    General information ;90
Comparison_of_cluster_software    Technical information ;88
Comparison_of_code_generation_tools;100
Comparison_of_code_generation_tools    Technical ;85
Comparison_of_cognitive_architectures;55
Comparison_of_Colorado_ski_resorts;88
Comparison_of_color_models_in_computer_graphics   RGB;100
Comparison_of_color_models_in_computer_graphics   RGB;50
Comparison_of_color_models_in_computer_graphics   RGB;50
Comparison_of_color_models_in_computer_graphics   RGB;33
Comparison_of_color_models_in_computer_graphics   HSL;0
Comparison_of_command_shells   General characteristics;85
Comparison_of_command_shells   Interactive features;20
Comparison_of_command_shells   Programming features;80
Comparison_of_command_shells   String processing and filename matching;85
Comparison_of_command_shells   Inter process communication;85
Comparison_of_command_shells   Security features;72
Comparison_of_consumer_brain computer_interfaces   Comparison;90
Comparison_of_container_formats   Information;87
Comparison_of_container_formats   Audio formats supported;100
Comparison_of_container_formats   Video formats supported;53
Comparison_of_container_formats   Caption (Subtitle) formats supported;100
Comparison_of_continuous_integration_software    Comparison ;100
Comparison_of_continuous_integration_software    SCM system support ;100
Comparison_of_cricket_and_baseball   Comparison Table;93
Comparison_of_CRM_systems    General ;100
Comparison_of_CRM_systems    Features ;90
Comparison_of_crowd_funding_services    Money for goods ;85
Comparison_of_crowd_funding_services    Donation based ;80
Comparison_of_crowd_funding_services    Money for business ventures ;85
Comparison_of_crowd_funding_services    Continuous funding ;100
Comparison_of_crowd_funding_services    Post creation services ;100
Comparison_of_CRT _LCD _Plasma _and_OLED;100
Comparison_of_cryptographic_hash_functions    General information ;100
Comparison_of_cryptographic_hash_functions    Parameters ;100
Comparison_of_cryptographic_hash_functions    Compression function ;83
Comparison_of_C_Sharp_and_Java    Types ;66
Comparison_of_C_Sharp_and_Java    Enumerations ;66
Comparison_of_C_Sharp_and_Java    Fields and initialization ;66
Comparison_of_C_Sharp_and_Java    Methods ;66
Comparison_of_C_Sharp_and_Java    Constant immutable parameters ;50
Comparison_of_C_Sharp_and_Java    Reference (in out) parameters ;33
Comparison_of_C_Sharp_and_Java    Exceptions ;66
Comparison_of_C_Sharp_and_Java    Generics ;66
Comparison_of_C_Sharp_and_Java    Type erasure versus reified generics ;61
Comparison_of_C_Sharp_and_Java    Functional programming ;66
Comparison_of_C_Sharp_and_Java   Metadata;87
Comparison_of_C_Sharp_and_Java    Preprocessing  compilation and packaging ;75
Comparison_of_C_Sharp_and_Java    Reference types ;100
Comparison_of_C_Sharp_and_Java    Threading and asynchronous features ;66
Comparison_of_C_Sharp_and_Java    Native interoperability ;60
Comparison_of_C_Sharp_and_Java    Platform support ;66
Comparison_of_C_Sharp_and_Java    Input output ;50
Comparison_of_C_Sharp_and_Java    Integration of library defined types ;100
Comparison_of_C_Sharp_and_Java    C  delegates and equivalent Java constructs ;100
Comparison_of_C_Sharp_and_Java    Type lifting ;100
Comparison_of_C_Sharp_and_Java   Interoperability with dynamic languages;50
