Matrice;prodConformRatio
Comparison_(grammar)   Comparison in English;100
Comparison_between_Esperanto_and_Ido   Morphology;100
Comparison_between_Esperanto_and_Ido    Pronouns ;100
Comparison_between_Esperanto_and_Novial   Personal pronouns;100
Comparison_between_Esperanto_and_Novial   Active voice;100
Comparison_between_Esperanto_and_Novial   Passive voice of becoming;100
Comparison_between_Esperanto_and_Novial   Passive voice of being;100
Comparison_of_401(k)_and_IRA_accounts   Comparison;100
Comparison_of_802 15 4_radio_modules    Transceiver only modules ;100
Comparison_of_American_and_British_English   School;100
Comparison_of_anaerobic_and_aerobic_digestion;100
Comparison_of_Asian_national_space_programs    Orbital Launch Frequency ;100
Comparison_of_assemblers   Power Architecture assemblers;100
Comparison_of_audio_formats    Technical details ;100
Comparison_of_audio_player_software   General;100
Comparison_of_audio_player_software   Operating system compatibility;100
Comparison_of_audio_player_software   Optical media ability;100
Comparison_of_audio_player_software   Features;100
Comparison_of_audio_player_software   Audio format ability;100
Comparison_of_audio_player_software   Protocol abilities;100
Comparison_of_Axis_ _Allies_games    Units ;100
Comparison_of_baseball_and_softball   Table of comparison;100
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_browser_synchronizers   General;100
Comparison_of_browser_synchronizers   Operating system support;100
Comparison_of_browser_synchronizers   Syncable Browsers;100
Comparison_of_browser_synchronizers   Syncable Items;100
Comparison_of_browser_synchronizers   Features;100
Comparison_of_business_integration_software   Database support;100
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb;100
Comparison_of_color_models_in_computer_graphics   RGB;100
Comparison_of_crowd_funding_services    Continuous funding ;100
Comparison_of_C_Sharp_and_Java    Keywords and backward compatibility ;100
Comparison_of_database_access    Database and table management ;100
Comparison_of_database_access    Using data in a table ;100
Comparison_of_database_access    Altering tables ;100
Comparison_of_database_access    MySQL databases ;100
Comparison_of_database_access    Reading from tables ;100
Comparison_of_database_access    Using a table ;100
Comparison_of_database_tools   General;100
Comparison_of_database_tools   Features (continued);100
Comparison_of_dental_practice_management_software;100
Comparison_of_desktop_application_launchers    Mac OS X ;100
Comparison_of_desktop_application_launchers    Cross platform ;100
Comparison_of_distributed_file_systems   Remote access;100
Comparison_of_DNS_blacklists;100
Comparison_of_EDA_software   Free and Open Source Software (FOSS);100
Comparison_of_eDonkey_software    General ;100
Comparison_of_feed_aggregators   Release history;100
Comparison_of_file_sharing_applications    File sharing web applications ;100
Comparison_of_file_synchronization_software    Freeware ;100
Comparison_of_FTP_client_software   Free and Open Source;100
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;100
Comparison_of_genealogy_software   General features;100
Comparison_of_genealogy_software   Languages;100
Comparison_of_general_and_generalized_linear_models;100
Comparison_of_geographic_information_systems_software   Catalog servers;100
Comparison_of_geographic_information_systems_software   Applications;100
Comparison_of_graphics_file_formats   General;100
Comparison_of_Home_Owners'_and_Civic_Associations   General comparison;100
Comparison_of_instant_messaging_clients   Messengers with no encryption;100
Comparison_of_integrated_development_environments    ActionScript ;100
Comparison_of_integrated_development_environments    Haskell ;100
Comparison_of_integrated_development_environments    Java ;100
Comparison_of_integrated_development_environments    Lua ;100
Comparison_of_integrated_development_environments      anchor Pascal Object Pascal  Pascal  Object Pascal ;100
Comparison_of_integrated_development_environments    Racket ;100
Comparison_of_integrated_development_environments    BASIC ;100
Comparison_of_integrated_development_environments    Scala ;100
Comparison_of_integrated_development_environments    Smalltalk ;100
Comparison_of_integrated_development_environments    WLanguage ;100
Comparison_of_integrated_development_environments    C  ;100
Comparison_of_integrated_development_environments    Common Lisp ;100
Comparison_of_integrated_development_environments    Component Pascal ;100
Comparison_of_integrated_development_environments    Groovy ;100
Comparison_of_Internet_Relay_Chat_clients    Release history ;100
Comparison_of_iOS_e book_reader_software    License ;100
Comparison_of_iOS_e book_reader_software    Special features ;100
Comparison_of_IPv6_support_by_major_transit_providers;100
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Selectors;100
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Values and units;100
Comparison_of_layout_engines_(Document_Object_Model)   General overview;100
Comparison_of_layout_engines_(Document_Object_Model)   Core (Fundamental);100
Comparison_of_layout_engines_(Document_Object_Model)   Range;100
Comparison_of_layout_engines_(Document_Object_Model)   Load and Save;100
Comparison_of_layout_engines_(Document_Object_Model)   Validation;100
Comparison_of_layout_engines_(Document_Object_Model)   Core (Extended);100
Comparison_of_layout_engines_(Document_Object_Model)   HTML;100
Comparison_of_layout_engines_(Document_Object_Model)   Style (Style Sheets);100
Comparison_of_layout_engines_(Document_Object_Model)   Style (CSS Extended);100
Comparison_of_layout_engines_(Document_Object_Model)   Events;100
Comparison_of_layout_engines_(Document_Object_Model)   Views;100
Comparison_of_layout_engines_(Document_Object_Model)   Traversal;100
Comparison_of_layout_engines_(ECMAScript)   RegExp object;100
Comparison_of_layout_engines_(ECMAScript)   Error object;100
Comparison_of_layout_engines_(ECMAScript)   NativeError objects;100
Comparison_of_layout_engines_(graphics)   JPEG support;100
Comparison_of_layout_engines_(graphics)   GIF support;100
Comparison_of_layout_engines_(HTML)    Global structure elements ;100
Comparison_of_layout_engines_(HTML)    Text elements ;100
Comparison_of_layout_engines_(HTML)   Generic attributes;100
Comparison_of_layout_engines_(HTML)    List elements ;100
Comparison_of_layout_engines_(HTML)    Table elements ;100
Comparison_of_layout_engines_(HTML)    Link elements ;100
Comparison_of_layout_engines_(HTML)    Multimedia elements ;100
Comparison_of_layout_engines_(HTML)   Frame elements;100
Comparison_of_layout_engines_(HTML)   Form elements;100
Comparison_of_layout_engines_(HTML)   Presentational elements;100
Comparison_of_layout_engines_(HTML5)   Elements;100
Comparison_of_layout_engines_(HTML5)    Element specific ;100
Comparison_of_layout_engines_(HTML5)   Next generation additions;100
Comparison_of_layout_engines_(HTML5_canvas)   Canvas functions;100
Comparison_of_layout_engines_(HTML5_canvas)   Supported contexts;100
Comparison_of_layout_engines_(HTML5_canvas)   Canvas Rendering Context 2D;100
Comparison_of_layout_engines_(HTML5_media)   Element attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM attributes;100
Comparison_of_layout_engines_(HTML5_media)   DOM events;100
Comparison_of_layout_engines_(HTML5_media)   Audio format support;100
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML attributes;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML elements;100
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML attributes;100
Comparison_of_layout_engines_(Scalable_Vector_Graphics)   SVG version support;100
Comparison_of_layout_engines_(web_typography)   Support in HTML and XML documents;100
Comparison_of_layout_engines_(web_typography)   Support in SVG documents;100
Comparison_of_layout_engines_(web_typography)   Smart font features support;100
Comparison_of_layout_engines_(XHTML)   Combined profiles;100
Comparison_of_layout_engines_(XHTML_1 1)    Text Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Ruby Annotation Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Core ;100
Comparison_of_layout_engines_(XHTML_1 1)    Edit Module ;100
Comparison_of_layout_engines_(XHTML_1 1)    Forms Module ;100
Comparison_of_layout_engines_(XML)   Linking technologies;100
Comparison_of_layout_engines_(XML)    Schema technologies ;100
Comparison_of_layout_engines_(XML)   Security technologies;100
Comparison_of_linear_algebra_libraries    General information ;100
Comparison_of_mail_servers    Authentication ;100
Comparison_of_mail_servers    Antispam features ;100
Comparison_of_Microsoft_Windows_versions     Anchor FS 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor FS Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions     Anchor HR 9x  Windows 9x;100
