Feature,Occurrences
MyBlood,1
8 bit (byte),1
Exception LSException,1
Video playback,1
Interface LSLoadEvent,1
Solaris kernel,1
user manager,1
LucidDB,1
Polyhedra DBMS,1
Interface AbstractView,1
LINQ,1
Interface Notation,1
Encrypted file systems,1
Stereo,1
Extra Information,1
Footprint on Mac,1
RDM Embedded,1
Haraka,1
Author,1
Latest testing release,1
Object limit per document,1
WMS,1
First public release date,1
Fork from,1
16 bit (short integer),1
Lossless compression,1
Armed Forces,1
ignoreCase,1
Typical estimation method,1
Pervasive PSQL,1
Interface CDATASection,1
WebSphere Enterprise Service Bus and WebSphere Process Server,1
Bookmark Sync and Sort,1
Reader name with purple background,1
Peripheral Support,1
Thumbnails,1
Stored procedures,1
Apache James,1
Early Withdrawal,1
Red,1
ADABAS,1
Subsystem isolation mechanisms,1
MMS (MMSU  MMST),1
Audio,1
Interface,1
MDaemon Mail Server,1
Horizontal rules,1
PEtALS ESB,1
good,1
XForms,1
Resource access control,1
XML Key Management,1
GenoPro,1
entry into sea (TBq),1
SocksCap,1
Introduced by,1
Online cloud storage,1
Unicode,1
MaxDB,1
HTTP,1
Algorithm,1
RootsMagic,1
Family Tree Maker (Windows),1
Focus,1
multiline,1
Windows App,1
My Family Tree,1
Contribution Limits,1
uppercase(string) returns string,1
Informatica Power Center,1
Application Performance,1
WideCap,1
ClustrixDB,1
Form,1
Pitcher's area,1
Element selectors,1
Interface LSParserFilter,1
SmallSQL,1
Ratio between the release due to the bomb and the Chernobyl accident,1
Control point limit,1
Interface Entity,1
FAT32,1
Host platform,1
H2,1
SCTP,1
message,1
ODBC,1
Grouping elements,1
well,1
right(string n) returns string,1
Drizzle,1
Carbon dioxide,1
Atmail,1
Apache Synapse,1
Talend ESB,1
libtorrent (Rasterbar),1
Test Suite,1
Platforms,1
FAT12,1
Variant name,1
MacFamilyTree,1
FAT16,1
Procedure in SAS,1
Subjected taxes,1
DOS,1
Detect rename,1
Interface DocumentView,1
Prior file versions  revision control,1
Gapless audio decoding,1
Distribution,1
NTFS,1
Openadaptor,1
Dynamic Image Processing,1
High court judicial placement method,1
Interface LSSerializer,1
FlexiPanel Ltd,1
Networking,1
American,1
RTSP (RTSPU  RTSPT),1
Baselines,1
Interface EntityReference,1
Pitching distance,1
Lucidchart,1
IceWarp Mail Server,1
First stable release,1
Full name,1
Empress Embedded Database,1
Synovel Collabsuite,1
LifeLines,1
Custom functions,1
Language information,1
Percent of GDP,1
Initial public release,1
Lieutenant Governor,1
Nuclear Arsenal,1
Network protocols,1
Microsoft Access (JET),1
Apache Derby,1
feature  example usage,1
MDX,1
Basic table elements,1
SQL,1
Notifies upon listing,1
DTD,1
Function in R,1
Shapefile,1
Runs on Windows,1
Assembler,1
Home Down Payment,1
Interface DocumentEditVAL,1
Runner,1
British English,1
Afrikaans,1
Interface LSSerializerFilter,1
Conversions and Rollovers,1
Function in Matlab,1
Latest release,1
Windows Vista,1
Agelong Tree,1
MS SQL Server,1
Topic,1
JBoss Enterprise SOA Platform,1
Zimbra,1
Windows Launch Performance,1
SparkEngine,1
Array,1
Person who likes,1
Media database,1
find(string substring) returns integer,1
Mercury Mail Transport System,1
Ball,1
stable version,1
Mail Server,1
Interface ProcessingInstruction,1
Batter,1
Coda,1
WebSphere Message Broker,1
agorum core,1
Bookmark,1
MathML,1
Materialized view,1
Family Historian,1
SVG,1
Dante,1
APOP,1
TDP Watt,1
Legacy Family Tree,1
RDM Server,1
Residents association,1
ArXiv,1
Deprecated in HTML version,1
exec(string),1
Special cases,1
API compliance,1
Rule or Term,1
CommuniGate Pro,1
XPointer,1
Gliffy,1
select case,1
Cygwin,1
Standardization,1
Property owners association,1
Command in SPSS,1
Bunting,1
CiteSeer,1
Matching Contributions,1
rfind(string substring) returns integer,1
Mac OS,1
keyword,1
Definition lists,1
Highest court,1
GeoNetwork,1
Arado Websearch,1
Axigen,1
MagicMail,1
a ping,1
Free,1
Full duplex transfer,1
XML Schema,1
hMailServer,1
ROLAP,1
name,1
Double first base,1
Sqlite ver 3,1
MonetDB,1
Direct3D,1
Mailtraq,1
period of dispersal,1
Deprecated for,1
JDBC,1
Momentum,1
Purpose,1
Oracle Communications Messaging Server,1
Base,1
American English,1
Adaptive Server Enterprise,1
Equipment,1
RegExp (pattern  flags),1
Green,1
Text Recognition (OCR),1
Command in Stata,1
Leadership,1
Ancestris,1
Modules,1
Layout diagram,1
Target system type,1
Major Wars and Events,1
Windows Mobile,1
Interface ElementEditVAL,1
Copy files over 2 GB limit,1
far,1
Network,1
Under active development,1
Base distribution,1
Access Control,1
Sendmail,1
Subscripts and superscripts,1
Offline,1
Object reference,1
Latest release date,1
Partnership Eligibility,1
conditional expression,1
Interface LSResourceResolver,1
BSD Unix,1
Artix ESB,1
string to integer,1
Windows 8,1
Windows 7,1
Country,1
RAM (MB),1
Medical Expenses,1
Length of Game,1
XML Base,1
Current stable version,1
Passworded,1
Ingres,1
find_character(string char) returns integer,1
Interface LSProgressEvent,1
Kernel type,1
Export,1
length(string) returns an integer number,1
editor,1
Update management,1
Changing Institutions,1
Employer or Individual,1
MIME type,1
FirstClass,1
Advantage Database Server,1
Unify NXJ,1
xbelSync,1
rootsTrust,1
Type,1
Reader name with grey background,1
Power Favorites,1
reverse(string),1
Error (message),1
LDAP,1
ProxyCap,1
IEEE Xplore,1
Neighborhood association,1
GeoRSS,1
Gordano Messaging Suite,1
Runs on Linux,1
Dovecot,1
Multichannel,1
Manufacturer,1
Python,1
Runs on Mac OS X,1
Remote desktop,1
Latest stable release date,1
Thing that is liked,1
4th Dimension,1
Informix Dynamic Server,1
Form controls and labels,1
Producer,1
TCP,1
qmail,1
Microsoft SQL Server,1
Type inheritance,1
Cost,1
Listing lifetime,1
Hit by pitch,1
Special features,1
SmartDraw,1
Altibase,1
Partitioned From,1
SMTP AUTH,1
Preferred license,1
