Matrice;Feature;TypePredominant;taux
Comparison_of_pumps   Direct lift devices;Efficiency;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Difficulty of repair;NA;1.0
Comparison_of_pumps   Direct lift devices;Size of device;NA;1.0
Comparison_of_pumps   Direct lift devices;Production cost;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Pump type;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Cyclic continuous  ;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Fabrication requirements;NA;1.0
Comparison_of_pumps   Direct lift devices;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Direct lift devices;Durability;NA;1.0
Comparison_of_pumps   Direct lift devices;Output;StringValue;1.0
