Matrice;prodConformRatio
Comparison_(grammar)   Comparison in English;100
Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita;96
Comparison_between_Esperanto_and_Ido   Morphology;100
Comparison_between_Esperanto_and_Ido   Vocabulary;62
Comparison_between_Esperanto_and_Ido   Correlatives;0
Comparison_between_Esperanto_and_Ido    Pronouns ;100
Comparison_between_Esperanto_and_Ido   Samples;0
Comparison_between_Esperanto_and_Interlingua    Grammar and word formation ;75
Comparison_between_Esperanto_and_Interlingua    Sample text  the  ;100
Comparison_between_Esperanto_and_Novial   Alphabet and pronunciation;3
Comparison_between_Esperanto_and_Novial   Personal pronouns;100
Comparison_between_Esperanto_and_Novial   Active voice;100
Comparison_between_Esperanto_and_Novial   Passive voice of becoming;100
Comparison_between_Esperanto_and_Novial   Passive voice of being;100
Comparison_between_Esperanto_and_Novial   Language sample for comparison;0
Comparison_between_Ido_and_Interlingua    Orthography ;0
Comparison_between_Ido_and_Interlingua   Sample text;100
Comparison_between_Ido_and_Novial   Alphabets and pronunciation;100
Comparison_between_Ido_and_Novial   Personal pronouns;75
Comparison_between_Ido_and_Novial   Language sample for comparison;0
Comparison_between_U S _states_and_countries_by_GDP_(nominal)   State and country data;98
Comparison_between_U S _states_and_countries_by_GDP_(nominal)   State and country data;94
Comparison_between_U S _states_and_countries_by_GDP_(nominal)_per_capita   2009;100
Comparison_between_U S _states_and_countries_by_GDP_(PPP);98
Comparison_between_U S _states_and_countries_by_GDP_(PPP)   2013 Full List ;96
Comparison_of_3D_computer_graphics_software    General information ;85
Comparison_of_3D_computer_graphics_software   Operating system support;88
Comparison_of_3D_computer_graphics_software   Features;95
Comparison_of_401(k)_and_IRA_accounts   Comparison;100
Comparison_of_802 15 4_radio_modules    Transceiver only modules ;100
Comparison_of_802 15 4_radio_modules    Integrated MCU and transceiver modules ;47
Comparison_of_accounting_software    Free and open source software ;94
Comparison_of_accounting_software    Proprietary software ;94
Comparison_of_accounting_software    Further details ;94
Comparison_of_ADC_software    General ;84
Comparison_of_ADC_software    Operating system support ;84
Comparison_of_ADC_software    Interface and programming ;90
Comparison_of_ADC_software    Features ;88
Comparison_of_ADC_software    Interface and programming ;85
Comparison_of_ADC_software    Features ;83
Comparison_of_ADC_software    General ;28
Comparison_of_ADC_software    Operating system support ;23
Comparison_of_ADC_software    Interface and programming ;23
Comparison_of_ADC_software    Features ;23
Comparison_of_ADC_software    General ;90
Comparison_of_ADC_software    Operating system support ;90
Comparison_of_Adobe_Flex_charts   Flex Chart products;100
Comparison_of_Adobe_Flex_charts   Flex Chart features;88
Comparison_of_ADO_and_ADO NET;50
Comparison_of_ad_servers    General information ;95
Comparison_of_ad_servers    General features ;95
Comparison_of_ad_servers    Targeting ;9
Comparison_of_Afrikaans_and_Dutch   Comparisons of various words and phrases in Dutch and Afrikaans;100
Comparison_of_Afrikaans_and_Dutch   Comparison of sample text;100
Comparison_of_agent based_modeling_software    Comparison of ABM Software ;82
Comparison_of_alcopops    Beer based ;100
Comparison_of_alcopops    Bourbon whiskey based ;90
Comparison_of_alcopops    Rum based ;90
Comparison_of_alcopops    Scotch whisky based ;90
Comparison_of_alcopops    Vodka based ;100
Comparison_of_alcopops    Other ;91
Comparison_of_ALGOL_68_and_C     Comparison of the assignment and equality operators;83
Comparison_of_AMD_chipsets    AMD xxx ;0
Comparison_of_AMD_chipsets    A Link Express II ;86
Comparison_of_AMD_chipsets    A Link Express III ;100
Comparison_of_AMD_chipsets    AMD xxx ;36
Comparison_of_AMD_chipsets    A Link Express ;100
Comparison_of_AMD_chipsets      anchor FCH   Fusion controller hubs (FCH) ;100
Comparison_of_AMD_processors;100
Comparison_of_American_and_British_English   School;100
Comparison_of_American_and_British_English   Road transport;100
Comparison_of_American_and_British_English   Equivalent idioms;93
Comparison_of_anaerobic_and_aerobic_digestion;100
Comparison_of_Android_e book_reader_software    File formats supported ;94
Comparison_of_Android_e book_reader_software    Navigation features ;93
Comparison_of_Android_e book_reader_software    Display features ;80
Comparison_of_Android_e book_reader_software    Edit tool features ;100
Comparison_of_Android_e book_reader_software    Book source management features ;100
Comparison_of_antivirus_software     ;84
Comparison_of_antivirus_software     ;81
Comparison_of_antivirus_software     ;81
Comparison_of_antivirus_software     ;100
Comparison_of_antivirus_software     ;100
Comparison_of_antivirus_software   ;94
Comparison_of_antivirus_software   ;81
Comparison_of_antivirus_software   ;75
Comparison_of_antivirus_software   ;80
Comparison_of_antivirus_software   ;81
Comparison_of_application_servers    Java ;100
Comparison_of_application_virtualization_software   Comparison of virtual machines;90
Comparison_of_application_virtualization_software   List of application virtual machine implementations;89
Comparison_of_archive_formats   Comparison;100
Comparison_of_Asian_national_space_programs   Timeline of national firsts;0
Comparison_of_Asian_national_space_programs   Timeline of national firsts;73
Comparison_of_Asian_national_space_programs    Other achievements ;100
Comparison_of_Asian_national_space_programs    Comparison of key technologies ;100
Comparison_of_Asian_national_space_programs    Orbital Launch Frequency ;100
Comparison_of_assemblers   6502 assemblers;95
Comparison_of_assemblers   680x0 assemblers;88
Comparison_of_assemblers   ARM assemblers;83
Comparison_of_assemblers   IBM mainframe assemblers;87
Comparison_of_assemblers   Power Architecture assemblers;100
Comparison_of_assemblers   x86 assemblers;88
Comparison_of_assemblers   Other architectures;100
Comparison_of_ATI_chipsets   Comparison of Northbridges;100
Comparison_of_ATI_chipsets   Comparison of Southbridges;50
Comparison_of_ATI_chipsets   Comparison of Northbridges;85
Comparison_of_ATI_chipsets   Comparison of Southbridges;44
Comparison_of_audio_formats    General information ;62
Comparison_of_audio_formats    Operating system support ;93
Comparison_of_audio_formats    Multimedia frameworks support ;91
Comparison_of_audio_formats    Technical details ;67
Comparison_of_audio_formats    Technical details ;100
Comparison_of_audio_formats    Technical details ;0
Comparison_of_audio_player_software   General;100
Comparison_of_audio_player_software   Operating system compatibility;100
Comparison_of_audio_player_software   Optical media ability;100
Comparison_of_audio_player_software   Features;100
Comparison_of_audio_player_software   Extended features;90
Comparison_of_audio_player_software   Audio format ability;100
Comparison_of_audio_player_software   Container format ability;100
Comparison_of_audio_player_software   Scalable  composite and emulation format abilities;80
Comparison_of_audio_player_software   Protocol abilities;100
Comparison_of_audio_player_software   Playlist format ability;80
Comparison_of_audio_player_software   Metadata ability;100
Comparison_of_audio_synthesis_environments   General;85
Comparison_of_audio_synthesis_environments   Programming language features;75
Comparison_of_audio_synthesis_environments   Data interface methods;100
Comparison_of_audio_synthesis_environments   Technical;85
Comparison_of_Axis_ _Allies_games    Units ;100
Comparison_of_baseball_and_softball   Table of comparison;100
Comparison_of_behavioral_experiment_software;90
Comparison_of_birth_control_methods   Effectiveness;82
Comparison_of_BitTorrent_clients    General ;97
Comparison_of_BitTorrent_clients    Operating system support ;97
Comparison_of_BitTorrent_clients    Interface and programming ;94
Comparison_of_BitTorrent_clients    Features I ;93
Comparison_of_BitTorrent_clients    Features II ;93
Comparison_of_BitTorrent_clients    Vulnerabilities ;0
Comparison_of_BitTorrent_clients    Libraries ;33
Comparison_of_BitTorrent_clients    Libraries ;80
Comparison_of_BitTorrent_clients    Libraries ;84
Comparison_of_BitTorrent_clients    Libraries ;100
Comparison_of_BitTorrent_sites   Site comparison;71
Comparison_of_BitTorrent_tracker_software;87
Comparison_of_boot_loaders   Features;100
Comparison_of_boot_loaders    Technical information ;90
Comparison_of_brainwave_entrainment_software   General;84
Comparison_of_brainwave_entrainment_software   Stimuli Methods;84
Comparison_of_brainwave_entrainment_software   Features;84
Comparison_of_browser_synchronizers   General;100
Comparison_of_browser_synchronizers   Operating system support;100
Comparison_of_browser_synchronizers   Syncable Browsers;100
Comparison_of_browser_synchronizers   Syncable Items;100
Comparison_of_browser_synchronizers   Features;100
Comparison_of_BSD_operating_systems   General information;47
Comparison_of_BSD_operating_systems   Technical information;80
Comparison_of_BSD_operating_systems   Security features;87
Comparison_of_business_integration_software   General information;94
Comparison_of_business_integration_software   Operating system support;96
Comparison_of_business_integration_software   Database support;100
Comparison_of_Business_Process_Modeling_Notation_tools    General ;88
Comparison_of_CAD _CAM_and_CAE_file_viewers    Comparison of CAD CAM CAE file viewers ;100
Comparison_of_CalDAV_and_CardDAV_implementations   Client implementations;80
Comparison_of_CalDAV_and_CardDAV_implementations   Server implementations;31
Comparison_of_California_ski_resorts;96
Comparison_of_Canadian tax_preparation_software_for_personal_use;90
Comparison_of_Canon_EOS_digital_cameras   General information;65
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb;100
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb;0
Comparison_of_chess_video_games   General information;86
Comparison_of_chess_video_games   Gameplay;86
Comparison_of_Chinese_romanization_systems;0
Comparison_of_cluster_software    General information ;100
Comparison_of_cluster_software    Technical information ;100
Comparison_of_code_generation_tools;84
Comparison_of_code_generation_tools    Technical ;86
Comparison_of_cognitive_architectures;88
Comparison_of_Colorado_ski_resorts;100
Comparison_of_color_models_in_computer_graphics   RGB;100
Comparison_of_color_models_in_computer_graphics   RGB;0
Comparison_of_color_models_in_computer_graphics   RGB;0
Comparison_of_color_models_in_computer_graphics   RGB;20
Comparison_of_color_models_in_computer_graphics   HSL;25
Comparison_of_command_shells   General characteristics;79
Comparison_of_command_shells   Interactive features;79
Comparison_of_command_shells   Programming features;91
Comparison_of_command_shells   String processing and filename matching;78
Comparison_of_command_shells   Inter process communication;78
Comparison_of_command_shells   Security features;78
Comparison_of_consumer_brain computer_interfaces   Comparison;100
Comparison_of_container_formats   Information;54
Comparison_of_container_formats   Audio formats supported;75
Comparison_of_container_formats   Video formats supported;100
Comparison_of_container_formats   Caption (Subtitle) formats supported;90
Comparison_of_continuous_integration_software    Comparison ;85
Comparison_of_continuous_integration_software    SCM system support ;84
Comparison_of_cricket_and_baseball   Comparison Table;100
Comparison_of_CRM_systems    General ;89
Comparison_of_CRM_systems    Features ;89
Comparison_of_crowd_funding_services    Money for goods ;75
Comparison_of_crowd_funding_services    Donation based ;66
Comparison_of_crowd_funding_services    Money for business ventures ;95
Comparison_of_crowd_funding_services    Continuous funding ;100
Comparison_of_crowd_funding_services    Post creation services ;50
Comparison_of_CRT _LCD _Plasma _and_OLED;90
Comparison_of_cryptographic_hash_functions    General information ;53
Comparison_of_cryptographic_hash_functions    Parameters ;36
Comparison_of_cryptographic_hash_functions    Compression function ;12
Comparison_of_C_Sharp_and_Java    Types ;90
Comparison_of_C_Sharp_and_Java    Enumerations ;100
Comparison_of_C_Sharp_and_Java    Fields and initialization ;90
Comparison_of_C_Sharp_and_Java    Methods ;87
Comparison_of_C_Sharp_and_Java    Constant immutable parameters ;0
Comparison_of_C_Sharp_and_Java    Reference (in out) parameters ;0
Comparison_of_C_Sharp_and_Java    Exceptions ;50
Comparison_of_C_Sharp_and_Java    Generics ;80
Comparison_of_C_Sharp_and_Java    Type erasure versus reified generics ;0
Comparison_of_C_Sharp_and_Java    Functional programming ;100
Comparison_of_C_Sharp_and_Java   Metadata;50
Comparison_of_C_Sharp_and_Java    Preprocessing  compilation and packaging ;50
Comparison_of_C_Sharp_and_Java    Reference types ;50
Comparison_of_C_Sharp_and_Java    Threading and asynchronous features ;66
Comparison_of_C_Sharp_and_Java    Native interoperability ;50
Comparison_of_C_Sharp_and_Java    Platform support ;100
Comparison_of_C_Sharp_and_Java    Input output ;0
Comparison_of_C_Sharp_and_Java    Integration of library defined types ;0
Comparison_of_C_Sharp_and_Java    C  delegates and equivalent Java constructs ;0
Comparison_of_C_Sharp_and_Java    Type lifting ;0
Comparison_of_C_Sharp_and_Java   Interoperability with dynamic languages;0
Comparison_of_C_Sharp_and_Java    Fibonacci sequence ;0
Comparison_of_C_Sharp_and_Java    Arrays and collections ;46
Comparison_of_C_Sharp_and_Java    Arrays and collections ;0
Comparison_of_C_Sharp_and_Java    Arrays and collections ;0
Comparison_of_C_Sharp_and_Java    Expressions and operators ;91
Comparison_of_C_Sharp_and_Java   Statements;87
Comparison_of_C_Sharp_and_Java    Keywords and backward compatibility ;70
Comparison_of_C_Sharp_and_Java    Object orientation programming ;77
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Comments;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Conditionals;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Loops;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Primitive types;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Object types;0
Comparison_of_dance_video_games   General information;84
Comparison_of_database_access    Database and table management ;100
Comparison_of_database_access    Using data in a table ;100
Comparison_of_database_access    Altering tables ;100
Comparison_of_database_access    MySQL databases ;100
Comparison_of_database_access    Reading from tables ;100
Comparison_of_database_access    Using a table ;100
Comparison_of_database_tools   General;100
Comparison_of_database_tools   Features;100
Comparison_of_database_tools   Features (continued);100
Comparison_of_database_tools   Features   visual design and reverse engineering;100
Comparison_of_data_modeling_tools    General ;93
Comparison_of_data_modeling_tools    Features ;91
Comparison_of_data_serialization_formats   Overview;75
Comparison_of_data_serialization_formats   Syntax comparison of human readable formats;75
Comparison_of_data_serialization_formats   Comparison of binary formats;71
Comparison_of_debuggers;90
Comparison_of_defragmentation_software;94
Comparison_of_dental_practice_management_software;100
Comparison_of_desktop_application_launchers    Windows ;91
Comparison_of_desktop_application_launchers    Linux ;93
Comparison_of_desktop_application_launchers    Mac OS X ;100
Comparison_of_desktop_application_launchers    Cross platform ;100
Comparison_of_desktop_publishing_software   Overview;90
Comparison_of_desktop_publishing_software   Operating system;89
Comparison_of_desktop_publishing_software   Input format;93
Comparison_of_desktop_publishing_software   Output format;93
Comparison_of_development_estimation_software;91
Comparison_of_Dewey_and_Library_of_Congress_subject_classification   Chart;100
Comparison_of_DEX_software;100
Comparison_of_digital_audio_editors   General;94
Comparison_of_digital_audio_editors   Plugin support;100
Comparison_of_digital_audio_editors   File format support;100
Comparison_of_digital_SLRs;60
Comparison_of_disc_authoring_software   General information;83
Comparison_of_disc_authoring_software    Operating system support ;83
Comparison_of_disc_authoring_software    Optical media support ;0
Comparison_of_disc_authoring_software    Filesystem support ;100
Comparison_of_disc_authoring_software    Disk image format support ;66
Comparison_of_disc_authoring_software    Standards support ;33
Comparison_of_disc_authoring_software    User interface ;83
Comparison_of_disc_image_software;93
Comparison_of_disk_cloning_software   Table;94
Comparison_of_disk_encryption_software   Background information;85
Comparison_of_disk_encryption_software   Operating systems;84
Comparison_of_disk_encryption_software   Features;84
Comparison_of_disk_encryption_software   Layering;84
Comparison_of_disk_encryption_software   Modes of operation;40
Comparison_of_display_technology    General characteristics ;64
Comparison_of_distributed_file_systems   Locally managed;91
Comparison_of_distributed_file_systems   Remote access;100
Comparison_of_DNS_blacklists;100
Comparison_of_DNS_server_software    Feature matrix ;95
Comparison_of_DNS_server_software    Platforms ;95
Comparison_of_DNS_server_software    Packaging ;94
Comparison_of_documentation_generators    General information ;90
Comparison_of_documentation_generators    Operating system support ;92
Comparison_of_documentation_generators    Language support ;90
Comparison_of_documentation_generators    Language support ;91
Comparison_of_documentation_generators    Language support ;90
Comparison_of_documentation_generators    Input formats ;91
Comparison_of_documentation_generators    Output formats ;91
Comparison_of_documentation_generators    Other features ;25
Comparison_of_document_interfaces;42
Comparison_of_document_markup_languages   General information;93
Comparison_of_document_markup_languages   Characteristics;92
Comparison_of_domestic_robots;62
Comparison_of_dosimeters;30
Comparison_of_DOS_operating_systems    Historical and licensing information ;0
Comparison_of_DOS_operating_systems    Technical specifications ;0
Comparison_of_download_managers    General information ;92
Comparison_of_download_managers    Protocol support ;100
Comparison_of_download_managers    Features ;75
Comparison_of_e book_formats   Broadband eBooks (BBeB) ;0
Comparison_of_e book_formats   Comic Book Archive file ;0
Comparison_of_e book_formats   Founder Electronics ;0
Comparison_of_e book_formats   Hypertext Markup Language ;0
Comparison_of_e book_formats   iBook (Apple) ;0
Comparison_of_e book_formats   IEC 62448;0
Comparison_of_e book_formats   KF8 (Amazon Kindle) ;0
Comparison_of_e book_formats   Microsoft LIT ;0
Comparison_of_e book_formats   Mobipocket ;0
Comparison_of_e book_formats   Multimedia eBooks ;0
Comparison_of_e book_formats   Newton eBook ;0
Comparison_of_e book_formats   Open Electronic Package;0
Comparison_of_e book_formats   Compiled HTML ;0
Comparison_of_e book_formats   Portable Document Format ;0
Comparison_of_e book_formats   Plain text files ;0
Comparison_of_e book_formats   Plucker ;0
Comparison_of_e book_formats   PostScript ;0
Comparison_of_e book_formats   RTF;0
Comparison_of_e book_formats   SSReader ;0
Comparison_of_e book_formats   Text Encoding Initiative ;0
Comparison_of_e book_formats   TomeRaider ;0
Comparison_of_e book_formats   Open XML Paper Specification ;0
Comparison_of_e book_formats    Features ;100
Comparison_of_e book_formats   DAISY   ANSI NISO Z39 86  ;0
Comparison_of_e book_formats    Supporting platforms ;60
Comparison_of_e book_formats   DjVu ;0
Comparison_of_e book_formats   DOC;0
Comparison_of_e book_formats   DOCX;0
Comparison_of_e book_formats    EPUB ;0
Comparison_of_e book_formats   eReader ;0
Comparison_of_e book_formats   FictionBook (Fb2) ;0
Comparison_of_e book_readers    Electronic paper displays ;86
Comparison_of_e book_readers   Discontinued Models;62
Comparison_of_e book_readers    Non electronic paper displays ;92
Comparison_of_e book_readers    File format support ;74
Comparison_of_early_word_processors   Operating system compatibility;81
Comparison_of_early_World_War_II_tanks;0
Comparison_of_EDA_software   Free and Open Source Software (FOSS);100
Comparison_of_EDA_software   Comparison of EDA packages;61
Comparison_of_eDonkey_software    General ;100
Comparison_of_eDonkey_software    Features ;95
Comparison_of_eDonkey_software   Features (continued);95
Comparison_of_eDonkey_software    Versions ;96
Comparison_of_educational_websites_for_children;100
Comparison_of_email_clients   General;50
Comparison_of_email_clients   Release history;25
Comparison_of_email_clients   Templates  scripts and programming languages;100
Comparison_of_email_clients   Operating system support;86
Comparison_of_email_clients   Communication and access protocol support;63
Comparison_of_email_clients   Communication and access protocol support;60
Comparison_of_email_clients   Authentication support;41
Comparison_of_email_clients   SSL and TLS support;100
Comparison_of_email_clients   General features;0
Comparison_of_email_clients   Messages features;100
Comparison_of_email_clients   Database  folders and customization;0
Comparison_of_embedded_computer_systems_on_board_the_Mars_rovers   Performance comparisons;0
Comparison_of_encrypted_external_drives   Background information;86
Comparison_of_encrypted_external_drives   Operating systems;100
Comparison_of_encrypted_external_drives   Features;85
Comparison_of_English_dictionaries   Full size;100
Comparison_of_English_dictionaries   Collegiate;75
Comparison_of_English_dictionaries   Learner's;83
Comparison_of_enterprise_bookmarking_platforms    General ;83
Comparison_of_enterprise_bookmarking_platforms    Date and content types ;83
Comparison_of_enterprise_bookmarking_platforms    Content enrichment capabilities ;83
Comparison_of_enterprise_bookmarking_platforms    Tag management capabilities ;80
