PCM,NbMaticesSimilaires
Comparison_of_layout_engines_(web_typography)   Support in SVG documents,1
Comparison_of_reference_management_software    Reference list file formats ,0
Comparison_of_integrated_development_environments    Lua ,0
Comparison_of_Portuguese_and_Spanish   Object pronouns,0
Comparison_of_reference_management_software    Operating system support ,0
List_of_AMD_graphics_processing_units    Radeon R200 (8xxx  9xxx) Series ,0
Comparison_of_mail_servers    Antispam features ,0
Comparison_of_genealogy_software   General features,0
Comparison_of_network_diagram_software    List of Drawing Tools  ,0
Comparison_of_U S _state_governments    Supermajority requirements ,0
Comparison_of_Tryton_and_Open_ERP   Business model,0
List_of_AMD_graphics_processing_units    Radeon Rx M2xx Series ,0
Comparison_of_reference_management_software    Database connectivity ,0
Comparison_of_audio_formats    Technical details ,0
Comparison_of_integrated_development_environments    Common Lisp ,0
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Consonants ,0
Comparison_of_browser_synchronizers   Operating system support,0
Comparison_of_integrated_development_environments    ActionScript ,0
Comparison_of_Home_Owners'_and_Civic_Associations   General comparison,0
List_of_AMD_graphics_processing_units    PCI E (X3xx  X5xx  X6xx  X1xxx Series) ,0
Comparison_of_geographic_information_systems_software   Catalog servers,0
Comparison_of_integrated_development_environments    Haskell ,0
List_of_AMD_graphics_processing_units    IGP (9xxx Series) ,0
Comparison_of_operating_system_kernels    Transport protocol support ,0
Comparison_of_layout_engines_(web_typography)   Smart font features support,0
Comparison_of_FTP_client_software   Free and Open Source,0
List_of_AMD_graphics_processing_units    Radeon R100 (7xxx) Series ,1
Comparison_of_layout_engines_(web_typography)   Support in HTML and XML documents,1
List_of_Nvidia_graphics_processing_units   Comparison table  Console GPUs,0
List_of_AMD_graphics_processing_units    FireStream Series ,0
Comparison_of_U S _state_governments   Executive,0
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML attributes,0
Comparison_of_EDA_software   Free and Open Source Software (FOSS),0
List_of_Nvidia_graphics_processing_units   GeForce FX Go 5 (Go 5xxx) Series,0
Comparison_of_OLAP_Servers   APIs and query languages,0
List_of_Nvidia_graphics_processing_units   GeForce3 Series,0
Comparison_of_dental_practice_management_software,0
Comparison_of_integrated_development_environments      anchor Pascal Object Pascal  Pascal  Object Pascal ,0
Comparison_of_layout_engines_(HTML5)    Element specific ,0
Comparison_of_programming_languages_(strings)    Unique quoting variants ,0
Comparison_of_programming_languages_(string_functions)   Uppercase,0
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML elements,0
Comparison_of_assemblers   Power Architecture assemblers,0
Comparison_of_eDonkey_software    General ,0
Comparison_of_database_access    Using data in a table ,0
Comparison_between_Esperanto_and_Ido   Morphology,0
Comparison_of_Axis_ _Allies_games    Units ,0
Comparison_of_Scottish_Gaelic_and_Irish   Orthographic differences,0
Comparison_of_national_standards_of_Chinese   Written standards,0
Comparison_of_iOS_e book_reader_software    Special features ,0
Comparison_of_database_tools   General,0
Comparison_of_browser_synchronizers   Syncable Items,0
Comparison_of_crowd_funding_services    Continuous funding ,0
Comparison_of_integrated_development_environments    WLanguage ,0
Comparison_of_Solaris_distributions    General ,0
Comparison_of_database_access    Reading from tables ,0
Comparison_of_audio_player_software   Audio format ability,0
Comparison_of_instant_messaging_clients   Messengers with no encryption,0
Comparison_of_baseball_and_softball   Table of comparison,0
List_of_Nvidia_graphics_processing_units   GeForce256 Series,0
Comparison_of_programming_languages_(string_functions)   Lowercase,0
Comparison_of_file_sharing_applications    File sharing web applications ,0
Comparison_of_OLAP_Servers   General information,0
List_of_AMD_graphics_processing_units    PCI E (X7xx  X8xx) ,1
Comparison_of_audio_player_software   Features,0
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination,0
Comparison_of_DNS_blacklists,0
Comparison_of_American_and_British_English   School,0
Comparison_of_proxifiers   Proxy protocols and methods,0
Comparison_of_reference_management_software   Password  protection  and network versions,0
Comparison_of_business_integration_software   Database support,0
Comparison_of_database_access    Altering tables ,0
Comparison_of_mail_servers    Authentication ,0
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Values and units,0
Comparison_of_graphics_file_formats   General,0
Comparison_of_feed_aggregators   Release history,0
Comparison_of_browser_synchronizers   Syncable Browsers,0
Comparison_of_operating_system_kernels    Supported compression algorithms ,0
List_of_AMD_graphics_processing_units    IGP (X2xx  11xx Series) ,0
Comparison_of_open source_wireless_drivers   Solaris and OpenSolaris,0
Comparison_of_color_models_in_computer_graphics   RGB,0
Comparison_of_iOS_e book_reader_software    License ,0
Comparison_of_database_access    Database and table management ,0
Comparison_of_audio_player_software   Optical media ability,0
Comparison_of_OLAP_Servers   Data storage modes,0
Comparison_of_US_and_Chinese_Military_Armed_Forces   Table comparison between the US and Chinese Military as for 2011,0
List_of_FTP_server_software    Libraries ,0
Comparison_of_U S _state_governments   Judicial,0
Comparison_of_YouTube_downloaders    Supported operating systems ,0
Comparison_of_photo_gallery_software   Desktop applications,0
Comparison_of_open source_wireless_drivers   Darwin  OpenDarwin and Mac OS X,0
Comparison_of_photo_gallery_software   Server applications,0
List_of_AMD_graphics_processing_units    IGP (3xx Series) ,0
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vowels ,0
List_of_AMD_graphics_processing_units    Mobility Radeon Series ,0
Comparison_of_programming_languages_(string_functions)   length,0
Comparison_of_VMware_Fusion_and_Parallels_Desktop   2009 Benchmark tests,0
List_of_FTP_server_software    Graphical ,0
List_of_Nvidia_graphics_processing_units   GeForce Go 7 (Go 7xxx) Series,0
Comparison_of_integrated_development_environments    Groovy ,1
Comparison_of_integrated_development_environments    Racket ,0
Comparison_of_integrated_development_environments    BASIC ,1
Comparison_of_mobile_operating_systems    Peripheral Support ,0
Comparison_of_Microsoft_Windows_versions     Anchor HR Phone  Windows Phone,0
Comparison_of_Scottish_Gaelic_and_Irish   Differences in vocabulary,0
Comparison_of_layout_engines_(XHTML_1 1)    Forms Module ,3
List_of_Nvidia_graphics_processing_units   GeForce4 Go Series,0
Comparison_of_object relational_database_management_systems    Basic data ,0
Comparison_of_anaerobic_and_aerobic_digestion,0
Comparison_of_operating_system_kernels    Networked file system support ,0
Comparison_of_Microsoft_Windows_versions     Anchor TI Phone  Windows Phone,0
Comparison_of_Microsoft_Windows_versions     Anchor TI 9x  Windows 9x,0
Comparison_of_integrated_development_environments    Java ,0
Comparison_of_programming_languages_(string_functions)   reverse,0
Comparison_of_BitTorrent_clients    Libraries ,0
List_of_AMD_graphics_processing_units    AGP (9xxx Series) ,0
Comparison_of_browser_synchronizers   Features,0
Comparison_of_integrated_development_environments    Scala ,1
List_of_AMD_graphics_processing_units    Mobility Radeon X1xxx Series ,0
Comparison_of_genealogy_software   Languages,0
Comparison_of_integrated_development_environments    Component Pascal ,0
Comparison_of_layout_engines_(XHTML_1 1)    Text Module ,1
Comparison_of_integrated_development_environments    C  ,1
Comparison_of_reference_management_software    General ,0
Comparison_of_Windows_Vista_and_Windows_XP   Security,0
List_of_AMD_graphics_processing_units    AGP (X7xx  X8xx) ,0
Comparison_of_audio_player_software   General,0
List_of_AMD_graphics_processing_units    Mobility Radeon X300  X600  X700  X800 Series ,0
Comparison_of_audio_player_software   Operating system compatibility,0
Comparison_of_layout_engines_(XHTML_1 1)    Edit Module ,3
List_of_AMD_graphics_processing_units    IGP (X12xx  21xx) ,0
Comparison_of_layout_engines_(non standard_HTML)   Proprietary HTML attributes,0
Comparison_of_distributed_file_systems   Remote access,0
Comparison_of_layout_engines_(Cascading_Style_Sheets)   Selectors,0
Comparison_of_database_access    MySQL databases ,0
List_of_Nvidia_graphics_processing_units   GeForce2 Go Series,0
Comparison_of_geographic_information_systems_software   Applications,0
Comparison_of_layout_engines_(non standard_HTML)   Deprecated HTML elements,0
List_of_Nvidia_graphics_processing_units   Features,0
Comparison_of_Chernobyl_and_other_radioactivity_releases   Chernobyl compared with an atomic bomb,0
Comparison_of_layout_engines_(XHTML_1 1)    Core ,3
List_of_AMD_graphics_processing_units    Radeon Rx M3xx Series ,0
Comparison_of_layout_engines_(HTML)    Link elements ,1
Comparison_of_VMware_Fusion_and_Parallels_Desktop   Minimum system requirements,0
List_of_Nvidia_graphics_processing_units   GeForce4 Series,0
Comparison_of_MySQL_database_engines,0
Comparison_of_browser_synchronizers   General,0
Comparison_of_layout_engines_(XHTML_1 1)    Ruby Annotation Module ,3
Comparison_of_integrated_development_environments    Smalltalk ,0
List_of_AMD_graphics_processing_units    Rage Series ,0
