Matrice;featConformRatio
Comparison_between_Esperanto_and_Novial - Personal pronouns;100
Comparison_between_Esperanto_and_Novial - Active voice;100
Comparison_between_Esperanto_and_Novial - Passive voice of becoming;100
Comparison_between_Esperanto_and_Novial - Passive voice of being;100
Comparison_of_401(k)_and_IRA_accounts - Comparison;100
Comparison_of_802.15.4_radio_modules -  Transceiver-only modules ;100
Comparison_of_American_and_British_English - School;100
Comparison_of_anaerobic_and_aerobic_digestion;100
Comparison_of_Asian_national_space_programs -  Orbital Launch Frequency ;100
Comparison_of_assemblers - Power Architecture assemblers;100
Comparison_of_audio_formats -  Technical details ;100
Comparison_of_audio_player_software - Audio format ability;100
Comparison_of_audio_player_software - Protocol abilities;100
