Feature,Occurrences
Methane,1
Lookout Mobile Security,1
AnyChart,1
Overall Rank,1
Mobile solution,1
As dit ren, sal dié sambreel jou beskerm,1
MACRO32,1
Hulle woon hier,1
H, h,1
First success,1
Business Model,1
Ek is halfpad daar,1
Video ad serving,1
fb2,1
Symantec,1
  Indigenous manned missions,1
Formats total ,1
BullGuard,1
mobi,1
Gordons Gin and Tonic,1
Encryption supported,1
Features  notes,1
Ek het jou lief,1
WebUI,1
articulated lorry,1
saloon,1
First public release date (YYYYMMDD),1
Kaspersky Lab,1
First public release date,1
JuK,1
Rank by countryRank by US State,1
Uit die diepte van ons see,,1
djvu,1
QU, qu,1
BI,1
Lossless compression,1
  Other missions,1
MPW IIgs Assembler,1
manual,1
Musicmatch Jukebox,1
Dynamic typing,1
Axiis,1
FLV,1
DHT,1
MCU core,1
Beneficiaries,1
Plugin, extendable,1
hood, softhard top,1
'n Lemmetjie is 'n klein groen sitrusvrug,1
Sonique,1
Code Name,1
Supported languages,1
Intent,1
S, s,1
Reporting,1
Contribution notes,1
Early Withdrawal,1
Introduced in,1
TX Power,1
Wat maak jy,1
Symbolic Programming System (SPS),1
MMS (MMSU, MMST),1
Israel,1
MediaMonkey,1
hired car, hire car,1
  Manned missions,1
Socket,1
Oor ons ewige gebergtes,1
Tax Year 2015,1
User Support,1
HRM,1
Uit die blou van onse hemel,,1
Ad exchange,1
GIS Capabilities,1
T, t,1
Bacardi  X,1
MultiCo,1
Jewel Isle Rum Punch,1
NMDC compatible,1
Player cost,1
Protection,1
EC,1
DWM,1
,1
cmus,1
Jim Beam,1
Wireframe,1
CH, ch,1
HTTP,1
Met die kreun van ossewa,1
motorway,1
I, i,1
Distributions,1
UMI,1
Content, Geography, Cookie, Technographic (Eg ISP Provider, Bandwidth, Connection Type, IPAddresses, Browser, Browser Language, Operating System, Language, Domain) Time Based, Keyword Targeting, Frequency, ReTargeting Mobile (Mobile Carrier, Device Vendor, Device Type),1
juggernaut, lorry,1
petrol,1
Wild Turkey,1
State,1
SOCSIP Chip,1
Embit,1
MIPS,1
Control of data access behaviors,1
Contribution Limits,1
GDP (Billions of US),1
Anaerobic digestion,1
J, j,1
Telephony app,1
Tax benefit,1
Language,1
VGA DAC,1
Interlingua,1
GPASM,1
C,1
Java EEcompatibility,1
GL,1
Created by,1
Campaigns optimization,1
ASEM51,1
Latest stable release,1
The Lord's Prayer in Ido,1
ID3E,1
Chart type  Framework,1
AVTEST,1
ALM (Assembly Language for Multics),1
Amarok,1
Loans,1
Proprietary implementations (codecs),1
Carbon dioxide,1
